country,value
Honduras_hindus,5000
Hong Kong_hindus,30000
Hungary_hindus,5000
Iceland_hindus,5000
India_hindus,973750000
Indonesia_hindus,4050000
Iran_hindus,20000
Iraq_hindus,5000
Ireland_hindus,10000
Isle of Man_hindus,5000
Israel_hindus,5000
Italy_hindus,90000
Ivory Coast_hindus,5000
Jamaica_hindus,5000
Japan_hindus,30000
Jordan_hindus,5000
Kazakhstan_hindus,5000
Kenya_hindus,60000
Kiribati_hindus,5000
Kuwait_hindus,230000
Kyrgyzstan_hindus,5000
Laos_hindus,5000
Latvia_hindus,5000
Lebanon_hindus,5000
Lesotho_hindus,5000
Liberia_hindus,5000
Libya_hindus,5000
Liechtenstein_hindus,5000
Lithuania_hindus,5000
Luxembourg_hindus,5000
Macau_hindus,5000
Madagascar_hindus,10000
Malawi_hindus,5000
Malaysia_hindus,1720000
Maldives_hindus,5000
Mali_hindus,5000
Malta_hindus,5000
Marshall Islands_hindus,5000
Martinique_hindus,5000
Mauritania_hindus,5000
Mauritius_hindus,630000
Mayotte_hindus,5000
Mexico_hindus,5000
Micronesia_hindus,5000
Moldova_hindus,5000
Monaco_hindus,5000
Mongolia_hindus,5000
Montenegro_hindus,5000
Montserrat_hindus,5000
Morocco_hindus,5000
Mozambique_hindus,5000
Myanmar_hindus,820000
Namibia_hindus,5000
Nauru_hindus,5000
Nepal_hindus,24170000
Netherlands_hindus,80000
New Caledonia_hindus,5000
New Zealand_hindus,90000
Nicaragua_hindus,5000
Niger_hindus,5000
Nigeria_hindus,5000
Niue_hindus,5000
North Korea_hindus,5000
Northern Mariana Islands_hindus,5000
Norway_hindus,20000
Oman_hindus,150000
Pakistan_hindus,3330000
Palau_hindus,5000
Palestine_hindus,5000
Panama_hindus,5000
Papua New Guinea_hindus,5000
Paraguay_hindus,5000
Peru_hindus,5000
Philippines_hindus,5000
Poland_hindus,5000
Portugal_hindus,5000
Puerto Rico_hindus,5000
Qatar_hindus,240000
Republic of the Congo_hindus,5000
Reunion_hindus,40000
Romania_hindus,5000
Russia_hindus,30000
Rwanda_hindus,5000
Saint Kitts and Nevis_hindus,5000
Saint Pierre and Miquelon_hindus,5000
Saint Vincent and the Grenadines_hindus,5000
Samoa_hindus,5000
San Marino_hindus,5000
Sao Tome and Principe_hindus,5000
Saudi Arabia_hindus,310000
Senegal_hindus,5000
Serbia_hindus,5000
Seychelles_hindus,5000
Sierra Leone_hindus,5000
Singapore_hindus,260000
Sint Maarten_hindus,5000
Slovakia_hindus,5000
Slovenia_hindus,5000
Solomon Islands_hindus,5000
Somalia_hindus,5000
South Africa_hindus,570000
South Korea_hindus,5000
South Sudan_hindus,5000
Spain_hindus,20000
Sri Lanka_hindus,2830000
Sudan_hindus,5000
Suriname_hindus,100000
Sweden_hindus,20000
Switzerland_hindus,40000
Syria_hindus,5000
Taiwan_hindus,5000
Tajikistan_hindus,5000
Tanzania_hindus,50000
Thailand_hindus,70000
Timor-Leste_hindus,5000
Togo_hindus,5000
Tokelau_hindus,5000
Tonga_hindus,5000
Trinidad and Tobago_hindus,300000
Tunisia_hindus,5000
Turkey_hindus,5000
Turkmenistan_hindus,5000
Turks and Caicos Islands_hindus,5000
Tuvalu_hindus,5000
Uganda_hindus,100000
Ukraine_hindus,10000
United Arab Emirates_hindus,490000
United Kingdom_hindus,890000
United States_hindus,1790000
United States Virgin Islands_hindus,5000
Uruguay_hindus,5000
Uzbekistan_hindus,5000
Vanuatu_hindus,5000
Vatican City_hindus,5000
Venezuela_hindus,5000
Vietnam_hindus,5000
Wallis and Futuna_hindus,5000
Western Sahara_hindus,5000
Yemen_hindus,150000
Zambia_hindus,10000
Zimbabwe_hindus,5000
Afghanistan_buddhists,5000
Albania_buddhists,5000
Algeria_buddhists,5000
American Samoa_buddhists,5000
Andorra_buddhists,5000
Angola_buddhists,5000
Anguilla_buddhists,5000
Antigua and Barbuda_buddhists,5000
Argentina_buddhists,20000
Armenia_buddhists,5000
Aruba_buddhists,5000
Australia_buddhists,600000
Austria_buddhists,20000
Azerbaijan_buddhists,5000
Bahamas_buddhists,5000
Bahrain_buddhists,30000
Bangladesh_buddhists,920000
Barbados_buddhists,5000
Belarus_buddhists,5000
Belgium_buddhists,30000
Belize_buddhists,5000
Benin_buddhists,5000
Bermuda_buddhists,5000
Bhutan_buddhists,540000
Bolivia_buddhists,5000
Bosnia and Herzegovina_buddhists,5000
Botswana_buddhists,5000
Brazil_buddhists,250000
British Virgin Islands_buddhists,5000
Brunei_buddhists,30000
Bulgaria_buddhists,5000
Burkina Faso_buddhists,5000
Burundi_buddhists,5000
Cambodia_buddhists,13690000
Cameroon_buddhists,5000
Canada_buddhists,280000
Cape Verde_buddhists,5000
Cayman Islands_buddhists,5000
Central African Republic_buddhists,5000
Chad_buddhists,5000
Chile_buddhists,10000
China_buddhists,244110000
Colombia_buddhists,5000
Comoros_buddhists,5000
Cook Islands_buddhists,5000
Costa Rica_buddhists,5000
Croatia_buddhists,5000
Cuba_buddhists,5000
Curacao_buddhists,5000
Cyprus_buddhists,5000
Czech Republic_buddhists,5000
Denmark_buddhists_buddhists,10000
Djibouti_buddhists_buddhists,5000
Dominica_buddhists,5000
Dominican Republic_buddhists,5000
DR Congo_buddhists,5000
Ecuador_buddhists,5000
Egypt_buddhists,5000
El Salvador_buddhists,5000
Equatorial Guinea_buddhists,5000
Eritrea_buddhists,5000
Estonia_buddhists,5000
Eswatini_buddhists,5000
Ethiopia_buddhists,5000
Falkland Islands_buddhists,5000
Faroe Islands_buddhists,5000
Fiji_buddhists,5000
Finland_buddhists,5000
France_buddhists,280000
French Guiana_buddhists,5000
French Polynesia_buddhists,5000
Gabon_buddhists,5000
Gambia_buddhists,5000
Georgia_buddhists,5000
Germany_buddhists,210000
Ghana_buddhists,5000
Gibraltar_buddhists,5000
Greece_buddhists,5000
Greenland_buddhists,5000
Grenada_buddhists,5000
Guadeloupe_buddhists,5000
Guam_buddhists,5000
Guatemala_buddhists,5000
Guinea_buddhists,5000
Guinea-Bissau_buddhists,5000
Guyana_buddhists,5000
Haiti_buddhists,5000
Honduras_buddhists,5000
Hong Kong_buddhists,930000
Hungary_buddhists,5000
Iceland_buddhists,5000
India_buddhists,9250000
Indonesia_buddhists,1720000
Iran_buddhists,5000
Iraq_buddhists,5000
Ireland_buddhists,5000
Isle of Man_buddhists,5000
Israel_buddhists,20000
Italy_buddhists,110000
Ivory Coast_buddhists,5000
Jamaica_buddhists,5000
Japan_buddhists,45820000
Jordan_buddhists,20000
Kazakhstan_buddhists,40000
Kenya_buddhists,5000
Kiribati_buddhists,5000
Kuwait_buddhists,80000
Kyrgyzstan_buddhists,5000
Laos_buddhists,4100000
Latvia_buddhists,5000
